split_seed,target,inner_validation_fold,configuration_id,pipeline_key,candidate_kind,feature_set,selector,selector_parameter,branch,branch_kind,reference_model,training_patients,validation_patients,selected_columns,fit_seconds,baseline_macro_f1,baseline_priority_recall,macro_f1,balanced_accuracy,accuracy,recall_class_0,recall_class_1,recall_class_2,priority_recall,delta_macro_f1,delta_priority_recall
42,stage_1,1,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,48,0.0648213329986902,0.6743457839409528,0.6923076923076923,0.6767919799498747,0.6951048951048951,0.7019230769230769,0.7132867132867133,0.676923076923077,,0.676923076923077,0.0024461960089219303,-0.01538461538461533
42,stage_1,1,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,832,208,46,0.06496204199720523,0.6743457839409528,0.6923076923076923,0.6700703876276395,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,,0.6923076923076923,-0.004275396313313307,0.0
42,stage_1,1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,832,208,47,0.06304491699847858,0.6743457839409528,0.6923076923076923,0.6725228039485194,0.6916083916083916,0.6971153846153846,0.7062937062937062,0.676923076923077,,0.676923076923077,-0.0018229799924334156,-0.01538461538461533
42,stage_1,1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,832,208,47,0.06227316700096708,0.6743457839409528,0.6923076923076923,0.6725228039485194,0.6916083916083916,0.6971153846153846,0.7062937062937062,0.676923076923077,,0.676923076923077,-0.0018229799924334156,-0.01538461538461533
42,stage_1,2,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,48,0.06285904199830838,0.704515474378488,0.6818181818181818,0.7132352941176471,0.7247119078104993,0.7403846153846154,0.7676056338028169,0.6818181818181818,,0.6818181818181818,0.00871981973915903,0.0
42,stage_1,2,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,832,208,48,0.06321570799991605,0.704515474378488,0.6818181818181818,0.7194554014505663,0.7322876653862569,0.7451923076923077,0.7676056338028169,0.696969696969697,,0.696969696969697,0.014939927072078252,0.015151515151515249
42,stage_1,2,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,832,208,48,0.06279195800016169,0.704515474378488,0.6818181818181818,0.7088688128260593,0.721190781049936,0.7355769230769231,0.7605633802816901,0.6818181818181818,,0.6818181818181818,0.004353338447571242,0.0
42,stage_1,2,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,48,0.07036841700028162,0.704515474378488,0.6818181818181818,0.7238562091503268,0.7358087921468204,0.75,0.7746478873239436,0.696969696969697,,0.696969696969697,0.01934073477183873,0.015151515151515249
42,stage_1,2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,832,208,46,0.0613703329981945,0.704515474378488,0.6818181818181818,0.7194554014505663,0.7322876653862569,0.7451923076923077,0.7676056338028169,0.696969696969697,,0.696969696969697,0.014939927072078252,0.015151515151515249
42,stage_1,2,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,832,208,47,0.06104933399910806,0.704515474378488,0.6818181818181818,0.7238562091503268,0.7358087921468204,0.75,0.7746478873239436,0.696969696969697,,0.696969696969697,0.01934073477183873,0.015151515151515249
42,stage_1,2,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,832,208,47,0.05783241699828068,0.704515474378488,0.6818181818181818,0.7238562091503268,0.7358087921468204,0.75,0.7746478873239436,0.696969696969697,,0.696969696969697,0.01934073477183873,0.015151515151515249
42,stage_1,3,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,48,0.07299154199790792,0.674991674991675,0.6212121212121212,0.6727788523533205,0.6797908664105847,0.7067307692307693,0.7535211267605634,0.6060606060606061,,0.6060606060606061,-0.002212822638354539,-0.015151515151515138
42,stage_1,3,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,832,208,48,0.07301525000002584,0.674991674991675,0.6212121212121212,0.6707516339869282,0.6803243704652155,0.7019230769230769,0.7394366197183099,0.6212121212121212,,0.6212121212121212,-0.004240041004746842,0.0
42,stage_1,3,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,832,208,48,0.07342870899810805,0.674991674991675,0.6212121212121212,0.674991674991675,0.6838454972257789,0.7067307692307693,0.7464788732394366,0.6212121212121212,,0.6212121212121212,0.0,0.0
42,stage_1,3,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,48,0.0633122920007736,0.674991674991675,0.6212121212121212,0.6771090469525385,0.6879001280409731,0.7067307692307693,0.7394366197183099,0.6363636363636364,,0.6363636363636364,0.002117371960863479,0.015151515151515138
42,stage_1,3,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,832,208,46,0.06248454200249398,0.674991674991675,0.6212121212121212,0.6835074145712443,0.6908877507469057,0.7163461538461539,0.7605633802816901,0.6212121212121212,,0.6212121212121212,0.008515739579569304,0.0
