split_seed,inner_validation_fold,training_patients,feature,descriptive_name,falls_class,class_label,class_patients,observed_n,missing_n,mean,standard_deviation,median,q1,q3
0,2,582,GDS_TOTAL,GDS-15 depression total,1,rare fall,127,127,0,3.283464566929134,3.0443745618666695,2.0,1.0,4.0
0,2,582,GDS_TOTAL,GDS-15 depression total,2,recurrent fall,57,57,0,4.982456140350878,4.064178128434964,4.0,2.0,8.0
0,2,582,NQ_GAUSSIAN_REVISION,Neuro-QoL Gaussian mobility score (8 items),0,no fall,398,380,18,1.7176428985179275,1.1985560672099642,1.2569656818394228,0.9132940800774956,1.9443088853632775
0,2,582,NQ_GAUSSIAN_REVISION,Neuro-QoL Gaussian mobility score (8 items),1,rare fall,127,114,13,2.6134706966933208,1.5670968101284688,2.2879804871252047,1.2569656818394228,3.5496960768079613
0,2,582,NQ_GAUSSIAN_REVISION,Neuro-QoL Gaussian mobility score (8 items),2,recurrent fall,57,52,5,3.598132077379086,1.6929163916943175,3.3189952924109867,2.2879804871252047,4.69606127429223
0,2,582,NP1RTOT,MDS-UPDRS Part I rater total,0,no fall,398,398,0,3.178391959798995,2.69168613212793,2.5,1.0,5.0
0,2,582,NP1RTOT,MDS-UPDRS Part I rater total,1,rare fall,127,127,0,4.637795275590551,3.1438256225587433,4.0,2.0,6.0
0,2,582,NP1RTOT,MDS-UPDRS Part I rater total,2,recurrent fall,57,57,0,6.701754385964913,4.105592493698173,7.0,3.0,10.0
0,2,582,BMI,Body mass index,0,no fall,398,398,0,26.391811866080545,4.386098439493758,25.80484160772947,23.550022842098187,28.993445194874585
0,2,582,BMI,Body mass index,1,rare fall,127,127,0,26.827272351789425,5.254706810922283,25.969529085872576,22.970249776492537,29.697392874027056
0,2,582,BMI,Body mass index,2,recurrent fall,57,57,0,25.997369317300578,4.8484951700777685,25.54889090086012,22.920912827023955,28.680293005671075
0,2,582,NP1SLPD,Daytime sleepiness,0,no fall,398,398,0,1.4321608040201006,0.9195173710917076,2.0,1.0,2.0
0,2,582,NP1SLPD,Daytime sleepiness,1,rare fall,127,127,0,1.8031496062992125,0.9088573855570463,2.0,1.0,2.0
0,2,582,NP1SLPD,Daytime sleepiness,2,recurrent fall,57,57,0,2.1228070175438596,0.8878178593486652,2.0,2.0,3.0
0,2,582,NP1URIN,Urinary problems,0,no fall,398,398,0,1.3919597989949748,1.019772127651309,1.0,1.0,2.0
0,2,582,NP1URIN,Urinary problems,1,rare fall,127,127,0,1.8503937007874016,1.0843675660829692,2.0,1.0,3.0
0,2,582,NP1URIN,Urinary problems,2,recurrent fall,57,57,0,2.508771929824561,1.071094350545004,3.0,2.0,3.0
0,2,582,NP3GAIT_COMBINED_MAX,"Part III gait, combined states",0,no fall,398,398,0,1.1482412060301508,0.631366852853528,1.0,1.0,1.0
0,2,582,NP3GAIT_COMBINED_MAX,"Part III gait, combined states",1,rare fall,127,127,0,1.6535433070866141,0.8005747216933425,2.0,1.0,2.0
0,2,582,NP3GAIT_COMBINED_MAX,"Part III gait, combined states",2,recurrent fall,57,57,0,2.0350877192982457,0.9993732371681365,2.0,1.0,3.0
0,2,582,NP3PSTBL_COMBINED_MAX,"Part III postural stability, combined states",0,no fall,398,398,0,0.41457286432160806,0.7817107722509886,0.0,0.0,1.0
0,2,582,NP3PSTBL_COMBINED_MAX,"Part III postural stability, combined states",1,rare fall,127,127,0,1.0236220472440944,1.2049143217194598,1.0,0.0,2.0
0,2,582,NP3PSTBL_COMBINED_MAX,"Part III postural stability, combined states",2,recurrent fall,57,57,0,1.4912280701754386,1.364378547931305,1.0,0.0,3.0
0,2,582,NHY_COMBINED_MAX,"Hoehn–Yahr stage, combined states",0,no fall,398,398,0,1.9824120603015076,0.5284759810286638,2.0,2.0,2.0
