split_seed,inner_validation_fold,training_patients,feature,descriptive_name,falls_class,class_label,category,patients,percent_within_class
0,3,583,DOMSIDE,Predominantly affected side at onset,2,recurrent fall,Unknown,1,1.8
0,4,583,DXPOSINS,Postural instability at diagnosis,0,no fall,<Missing>,1,0.3
0,4,583,DXPOSINS,Postural instability at diagnosis,0,no fall,No,339,85.0
0,4,583,DXPOSINS,Postural instability at diagnosis,0,no fall,Unknown,24,6.0
0,4,583,DXPOSINS,Postural instability at diagnosis,0,no fall,Yes,35,8.8
0,4,583,DXPOSINS,Postural instability at diagnosis,1,rare fall,No,110,86.6
0,4,583,DXPOSINS,Postural instability at diagnosis,1,rare fall,Unknown,9,7.1
0,4,583,DXPOSINS,Postural instability at diagnosis,1,rare fall,Yes,8,6.3
0,4,583,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,No,51,89.5
0,4,583,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,Unknown,1,1.8
0,4,583,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,Yes,5,8.8
0,4,583,DXRIGID,Rigidity at diagnosis,0,no fall,No,74,18.5
0,4,583,DXRIGID,Rigidity at diagnosis,0,no fall,Unknown,33,8.3
0,4,583,DXRIGID,Rigidity at diagnosis,0,no fall,Yes,292,73.2
0,4,583,DXRIGID,Rigidity at diagnosis,1,rare fall,No,28,22.0
0,4,583,DXRIGID,Rigidity at diagnosis,1,rare fall,Unknown,6,4.7
0,4,583,DXRIGID,Rigidity at diagnosis,1,rare fall,Yes,93,73.2
0,4,583,DXRIGID,Rigidity at diagnosis,2,recurrent fall,No,12,21.1
0,4,583,DXRIGID,Rigidity at diagnosis,2,recurrent fall,Unknown,3,5.3
0,4,583,DXRIGID,Rigidity at diagnosis,2,recurrent fall,Yes,42,73.7
0,4,583,DOPTHERST,Dopaminergic therapy started,0,no fall,<Missing>,71,17.8
0,4,583,DOPTHERST,Dopaminergic therapy started,0,no fall,No,63,15.8
0,4,583,DOPTHERST,Dopaminergic therapy started,0,no fall,Yes,265,66.4
0,4,583,DOPTHERST,Dopaminergic therapy started,1,rare fall,<Missing>,35,27.6
0,4,583,DOPTHERST,Dopaminergic therapy started,1,rare fall,No,17,13.4
0,4,583,DOPTHERST,Dopaminergic therapy started,1,rare fall,Yes,75,59.1
0,4,583,DOPTHERST,Dopaminergic therapy started,2,recurrent fall,<Missing>,20,35.1
0,4,583,DOPTHERST,Dopaminergic therapy started,2,recurrent fall,No,3,5.3
