sensitivity_id,split_seed,system,true_class,predicted_class,patients
S02_ON_OFF,6,direct,1,1,26
S02_ON_OFF,6,direct,1,2,19
S02_ON_OFF,6,direct,2,0,4
S02_ON_OFF,6,direct,2,1,9
S02_ON_OFF,6,direct,2,2,17
S02_ON_OFF,6,two_stage,0,0,160
S02_ON_OFF,6,two_stage,0,1,35
S02_ON_OFF,6,two_stage,0,2,19
S02_ON_OFF,6,two_stage,1,0,30
S02_ON_OFF,6,two_stage,1,1,21
S02_ON_OFF,6,two_stage,1,2,17
S02_ON_OFF,6,two_stage,2,0,4
S02_ON_OFF,6,two_stage,2,1,9
S02_ON_OFF,6,two_stage,2,2,17
S02_ON_OFF,7,direct,0,0,149
S02_ON_OFF,7,direct,0,1,47
S02_ON_OFF,7,direct,0,2,18
S02_ON_OFF,7,direct,1,0,26
S02_ON_OFF,7,direct,1,1,30
S02_ON_OFF,7,direct,1,2,12
S02_ON_OFF,7,direct,2,0,3
S02_ON_OFF,7,direct,2,1,12
S02_ON_OFF,7,direct,2,2,15
S02_ON_OFF,7,two_stage,0,0,160
S02_ON_OFF,7,two_stage,0,1,39
S02_ON_OFF,7,two_stage,0,2,15
S02_ON_OFF,7,two_stage,1,0,32
S02_ON_OFF,7,two_stage,1,1,26
S02_ON_OFF,7,two_stage,1,2,10
S02_ON_OFF,7,two_stage,2,0,8
S02_ON_OFF,7,two_stage,2,1,9
S02_ON_OFF,7,two_stage,2,2,13
S02_ON_OFF,8,direct,0,0,147
S02_ON_OFF,8,direct,0,1,47
S02_ON_OFF,8,direct,0,2,20
S02_ON_OFF,8,direct,1,0,31
S02_ON_OFF,8,direct,1,1,21
S02_ON_OFF,8,direct,1,2,16
S02_ON_OFF,8,direct,2,0,5
S02_ON_OFF,8,direct,2,1,8
S02_ON_OFF,8,direct,2,2,17
S02_ON_OFF,8,two_stage,0,0,156
S02_ON_OFF,8,two_stage,0,1,38
S02_ON_OFF,8,two_stage,0,2,20
S02_ON_OFF,8,two_stage,1,0,33
S02_ON_OFF,8,two_stage,1,1,20
S02_ON_OFF,8,two_stage,1,2,15
S02_ON_OFF,8,two_stage,2,0,5
S02_ON_OFF,8,two_stage,2,1,9
S02_ON_OFF,8,two_stage,2,2,16
S02_ON_OFF,9,direct,0,0,155
S02_ON_OFF,9,direct,0,1,45
S02_ON_OFF,9,direct,0,2,14
S02_ON_OFF,9,direct,1,0,25
S02_ON_OFF,9,direct,1,1,28
S02_ON_OFF,9,direct,1,2,15
S02_ON_OFF,9,direct,2,0,4
S02_ON_OFF,9,direct,2,1,12
S02_ON_OFF,9,direct,2,2,14
S02_ON_OFF,9,two_stage,0,0,159
S02_ON_OFF,9,two_stage,0,1,50
S02_ON_OFF,9,two_stage,0,2,5
S02_ON_OFF,9,two_stage,1,0,31
S02_ON_OFF,9,two_stage,1,1,31
S02_ON_OFF,9,two_stage,1,2,6
S02_ON_OFF,9,two_stage,2,0,6
S02_ON_OFF,9,two_stage,2,1,15
S02_ON_OFF,9,two_stage,2,2,9
S02_ON_OFF,10,direct,0,0,159
S02_ON_OFF,10,direct,0,1,41
S02_ON_OFF,10,direct,0,2,14
S02_ON_OFF,10,direct,1,0,19
S02_ON_OFF,10,direct,1,1,30
S02_ON_OFF,10,direct,1,2,19
S02_ON_OFF,10,direct,2,0,4
S02_ON_OFF,10,direct,2,1,5
S02_ON_OFF,10,direct,2,2,21
S02_ON_OFF,10,two_stage,0,0,167
S02_ON_OFF,10,two_stage,0,1,32
S02_ON_OFF,10,two_stage,0,2,15
S02_ON_OFF,10,two_stage,1,0,29
S02_ON_OFF,10,two_stage,1,1,18
S02_ON_OFF,10,two_stage,1,2,21
S02_ON_OFF,10,two_stage,2,0,4
S02_ON_OFF,10,two_stage,2,1,7
S02_ON_OFF,10,two_stage,2,2,19
S02_ON_OFF,11,direct,0,0,160
S02_ON_OFF,11,direct,0,1,39
S02_ON_OFF,11,direct,0,2,15
S02_ON_OFF,11,direct,1,0,24
S02_ON_OFF,11,direct,1,1,31
S02_ON_OFF,11,direct,1,2,13
S02_ON_OFF,11,direct,2,0,6
S02_ON_OFF,11,direct,2,1,15
S02_ON_OFF,11,direct,2,2,9
S02_ON_OFF,11,two_stage,0,0,158
S02_ON_OFF,11,two_stage,0,1,37
S02_ON_OFF,11,two_stage,0,2,19
S02_ON_OFF,11,two_stage,1,0,26
S02_ON_OFF,11,two_stage,1,1,27
S02_ON_OFF,11,two_stage,1,2,15
S02_ON_OFF,11,two_stage,2,0,5
S02_ON_OFF,11,two_stage,2,1,4
S02_ON_OFF,11,two_stage,2,2,21
S02_ON_OFF,12,direct,0,0,146
S02_ON_OFF,12,direct,0,1,47
S02_ON_OFF,12,direct,0,2,21
S02_ON_OFF,12,direct,1,0,28
S02_ON_OFF,12,direct,1,1,24
S02_ON_OFF,12,direct,1,2,16
S02_ON_OFF,12,direct,2,0,6
S02_ON_OFF,12,direct,2,1,6
S02_ON_OFF,12,direct,2,2,18
S02_ON_OFF,12,two_stage,0,0,162
S02_ON_OFF,12,two_stage,0,1,40
S02_ON_OFF,12,two_stage,0,2,12
S02_ON_OFF,12,two_stage,1,0,34
S02_ON_OFF,12,two_stage,1,1,22
S02_ON_OFF,12,two_stage,1,2,12
S02_ON_OFF,12,two_stage,2,0,7
S02_ON_OFF,12,two_stage,2,1,9
S02_ON_OFF,12,two_stage,2,2,14
S02_ON_OFF,13,direct,0,0,157
S02_ON_OFF,13,direct,0,1,43
S02_ON_OFF,13,direct,0,2,14
S02_ON_OFF,13,direct,1,0,34
S02_ON_OFF,13,direct,1,1,24
S02_ON_OFF,13,direct,1,2,10
S02_ON_OFF,13,direct,2,0,6
S02_ON_OFF,13,direct,2,1,10
S02_ON_OFF,13,direct,2,2,14
S02_ON_OFF,13,two_stage,0,0,161
S02_ON_OFF,13,two_stage,0,1,32
S02_ON_OFF,13,two_stage,0,2,21
S02_ON_OFF,13,two_stage,1,0,37
S02_ON_OFF,13,two_stage,1,1,15
S02_ON_OFF,13,two_stage,1,2,16
S02_ON_OFF,13,two_stage,2,0,6
S02_ON_OFF,13,two_stage,2,1,6
S02_ON_OFF,13,two_stage,2,2,18
S02_ON_OFF,14,direct,0,0,158
