sensitivity_id,split_seed,system,macro_f1,weighted_f1,accuracy,balanced_accuracy,macro_auc_ovr,recall_no_fall,recall_rare_fall,recall_recurrent_fall
S02_ON_OFF,9,two_stage,0.5045528455284553,0.6489993746091308,0.6378205128205128,0.49962433571559467,0.7530497648190201,0.7429906542056075,0.45588235294117646,0.3
S02_ON_OFF,10,direct,0.5732323232323232,0.6896853146853147,0.6730769230769231,0.6280557082646142,0.7821528775948261,0.7429906542056075,0.4411764705882353,0.7
S02_ON_OFF,10,two_stage,0.5139407028511888,0.6591125246828572,0.6538461538461539,0.5594710158206585,0.7879995509934298,0.780373831775701,0.2647058823529412,0.6333333333333333
S02_ON_OFF,11,direct,0.4886548941695457,0.6574365626382768,0.6410256410256411,0.5011819681143486,0.7425981895658925,0.7476635514018691,0.45588235294117646,0.3
S02_ON_OFF,11,two_stage,0.5584318590959957,0.6718750584792038,0.6602564102564102,0.6117921935129191,0.7615631867746586,0.7383177570093458,0.39705882352941174,0.7
S02_ON_OFF,12,direct,0.4985602152641207,0.6212026024105801,0.6025641025641025,0.545061389041598,0.732050065747926,0.6822429906542056,0.35294117647058826,0.6
S02_ON_OFF,12,two_stage,0.501763295246156,0.6415112254088132,0.6346153846153846,0.5157351414085883,0.7331474799946994,0.7570093457943925,0.3235294117647059,0.4666666666666667
S02_ON_OFF,13,direct,0.5022631520936254,0.6357602669198588,0.625,0.5177509009834463,0.7601545040707117,0.7336448598130841,0.35294117647058826,0.4666666666666667
S02_ON_OFF,13,two_stage,0.48059940809729723,0.6231316061741055,0.6217948717948718,0.5243082279640828,0.7553622233396066,0.7523364485981309,0.22058823529411764,0.6
S02_ON_OFF,14,direct,0.5171521572400218,0.6520850220496914,0.6410256410256411,0.5389163765194551,0.7462648444838801,0.7383177570093458,0.4117647058823529,0.4666666666666667
S02_ON_OFF,14,two_stage,0.49929500959249246,0.6569603800725081,0.6634615384615384,0.4915399181479445,0.7328033332607734,0.8177570093457944,0.3235294117647059,0.3333333333333333
S02_ON_OFF,15,direct,0.4892256035880999,0.6239811138288297,0.6025641025641025,0.5197452812900861,0.7534268962099547,0.6915887850467289,0.36764705882352944,0.5
S02_ON_OFF,15,two_stage,0.5018551557902136,0.6427730979020085,0.6217948717948718,0.548198033107324,0.748957293755661,0.7102803738317757,0.36764705882352944,0.5666666666666667
S02_ON_OFF,16,direct,0.5352906019235459,0.6307374148586326,0.6153846153846154,0.5928501618716022,0.762089949378505,0.677570093457944,0.36764705882352944,0.7333333333333333
S02_ON_OFF,16,two_stage,0.5171489329384067,0.6291420567736358,0.6153846153846154,0.5861615051004826,0.7359125913458024,0.6869158878504673,0.3382352941176471,0.7333333333333333
S02_ON_OFF,17,direct,0.48526043940055286,0.6196562496502479,0.6025641025641025,0.5164009529045263,0.7237524619296885,0.6962616822429907,0.35294117647058826,0.5
S02_ON_OFF,17,two_stage,0.46866310528888283,0.6183675715534329,0.6089743589743589,0.45981002993097553,0.7046259240573525,0.719626168224299,0.4264705882352941,0.23333333333333334
S02_ON_OFF,18,direct,0.48157068601718905,0.6073479597101643,0.5801282051282052,0.5370227841915582,0.7348189954414797,0.6542056074766355,0.3235294117647059,0.6333333333333333
S02_ON_OFF,18,two_stage,0.5075152017689332,0.6302734723816814,0.6185897435897436,0.5709974955714373,0.741993828505849,0.7149532710280374,0.2647058823529412,0.7333333333333333
S02_ON_OFF,19,direct,0.4899175508818671,0.6534089050956766,0.6634615384615384,0.5001343839716572,0.7702197734411248,0.8317757009345794,0.23529411764705882,0.43333333333333335
S02_ON_OFF,19,two_stage,0.5132250276583847,0.6403860668383121,0.6410256410256411,0.5780770875328325,0.789813165328415,0.7616822429906542,0.20588235294117646,0.7666666666666667
S03_COHORT_1043,0,direct,0.515710782141063,0.6445516514038808,0.6217948717948718,0.5677844969763606,0.7552518621396948,0.6915887850467289,0.4117647058823529,0.6
S03_COHORT_1043,0,two_stage,0.5021359820835419,0.637955729919856,0.6153846153846154,0.5212051798912711,0.7597702385644975,0.6822429906542056,0.5147058823529411,0.36666666666666664
S03_COHORT_1043,1,direct,0.5224266474266474,0.6457223332223332,0.6282051282051282,0.5704202553295462,0.7623570531532846,0.7102803738317757,0.36764705882352944,0.6333333333333333
S03_COHORT_1043,1,two_stage,0.5201871140384994,0.6656201269277138,0.6634615384615384,0.5517256123633254,0.7696585227905327,0.794392523364486,0.29411764705882354,0.5666666666666667
S03_COHORT_1043,2,direct,0.5070597180791951,0.6526147187315814,0.6410256410256411,0.5317482133040131,0.7605630408597469,0.7570093457943925,0.3382352941176471,0.5
S03_COHORT_1043,2,two_stage,0.5081052990429628,0.6561776009916398,0.6474358974358975,0.5224451774479262,0.7270817455874484,0.7663551401869159,0.36764705882352944,0.43333333333333335
S03_COHORT_1043,3,direct,0.5384596661705096,0.6679926807823008,0.6602564102564102,0.5516064992975384,0.7308076727911837,0.7616822429906542,0.4264705882352941,0.4666666666666667
S03_COHORT_1043,3,two_stage,0.4886363636363636,0.658420745920746,0.657051282051282,0.48603933785352144,0.6915924628707857,0.794392523364486,0.39705882352941174,0.26666666666666666
S03_COHORT_1043,4,direct,0.5071802918011341,0.6244021603987263,0.5993589743589743,0.550671919858286,0.7547802015988836,0.6588785046728972,0.4264705882352941,0.5666666666666667
