sensitivity_id,target,selected_column,selected_seeds
S03_COHORT_1043,direct,PCA_PART_I_PATIENT_3_90_PC2,1
S03_COHORT_1043,direct,PCA_PART_I_PATIENT_3_90_PC3,1
S03_COHORT_1043,stage_1,FOG_FORM_MISSING,20
S03_COHORT_1043,stage_1,FRZGT12M,20
S03_COHORT_1043,stage_1,NP3GAIT_COMBINED_MAX,20
S03_COHORT_1043,stage_1,NP4TOT,20
S03_COHORT_1043,stage_1,NQ_FORM_MISSING,20
S03_COHORT_1043,stage_1,NQ_GAUSSIAN_REVISION,20
S03_COHORT_1043,stage_1,PART_IV_FORM_MISSING,20
S03_COHORT_1043,stage_1,NP1RTOT,19
S03_COHORT_1043,stage_1,Years_since_PD_diagnosis,19
S03_COHORT_1043,stage_1,NP3PSTBL_COMBINED_MAX,18
S03_COHORT_1043,stage_1,Age,17
S03_COHORT_1043,stage_1,DOPTHERST_Missing,17
S03_COHORT_1043,stage_1,DOPTHERST_No,17
S03_COHORT_1043,stage_1,DOPTHERST_Yes,17
S03_COHORT_1043,stage_1,NP1CNST,17
S03_COHORT_1043,stage_1,MCATOT,16
S03_COHORT_1043,stage_1,NP3TOT_COMBINED_MAX,16
S03_COHORT_1043,stage_1,NHY_COMBINED_MAX,15
S03_COHORT_1043,stage_1,BMI,14
S03_COHORT_1043,stage_1,NO_ELIGIBLE_LONGITUDINAL_HISTORY,14
S03_COHORT_1043,stage_1,DXBRADY_No,13
S03_COHORT_1043,stage_1,DXBRADY_Unknown,13
S03_COHORT_1043,stage_1,DXBRADY_Yes,13
S03_COHORT_1043,stage_1,GDS_TOTAL,13
S03_COHORT_1043,stage_1,NP1URIN,13
S03_COHORT_1043,stage_1,ANYFAMPD_Missing,12
S03_COHORT_1043,stage_1,ANYFAMPD_No,12
S03_COHORT_1043,stage_1,ANYFAMPD_Yes,12
S03_COHORT_1043,stage_1,DXTREMOR_No,10
S03_COHORT_1043,stage_1,DXTREMOR_Unknown,10
S03_COHORT_1043,stage_1,DXTREMOR_Yes,10
S03_COHORT_1043,stage_1,SCAU14,10
S03_COHORT_1043,stage_1,SCAU16,10
S03_COHORT_1043,stage_1,FEATPOSHYP_Missing,8
S03_COHORT_1043,stage_1,FEATPOSHYP_No,8
S03_COHORT_1043,stage_1,FEATPOSHYP_Uncertain,8
S03_COHORT_1043,stage_1,FEATPOSHYP_Yes,8
S03_COHORT_1043,stage_1,DOMSIDE_Left,7
S03_COHORT_1043,stage_1,DOMSIDE_Right,7
S03_COHORT_1043,stage_1,DOMSIDE_Symmetric,7
S03_COHORT_1043,stage_1,DOMSIDE_Unknown,7
S03_COHORT_1043,stage_1,DXPOSINS_No,7
S03_COHORT_1043,stage_1,DXPOSINS_Unknown,7
S03_COHORT_1043,stage_1,DXPOSINS_Yes,7
S03_COHORT_1043,stage_1,DXRIGID_No,7
S03_COHORT_1043,stage_1,DXRIGID_Unknown,7
S03_COHORT_1043,stage_1,DXRIGID_Yes,7
S03_COHORT_1043,stage_1,NP1SLPD,7
S03_COHORT_1043,stage_1,DXPOSINS_Missing,5
S03_COHORT_1043,stage_1,PCA_PART_I_PATIENT_3_90_PC1,2
S03_COHORT_1043,stage_1,PCA_PART_I_PATIENT_3_90_PC2,2
S03_COHORT_1043,stage_1,PCA_PART_I_PATIENT_3_90_PC3,2
S03_COHORT_1043,stage_1,INT_DURATION_X_MOTOR,1
S03_COHORT_1043,stage_1,INT_GAIT_X_POSTURAL_STABILITY,1
S03_COHORT_1043,stage_1,INT_MOBILITY_X_POSTURAL_STABILITY,1
S03_COHORT_1043,stage_1,PCA_PART_I_PATIENT_3_80_PC1,1
S03_COHORT_1043,stage_1,PCA_PART_I_PATIENT_3_80_PC2,1
S03_COHORT_1043,stage_2,FOG_FORM_MISSING,20
S03_COHORT_1043,stage_2,FRZGT12M,20
S03_COHORT_1043,stage_2,NP4TOT,20
S03_COHORT_1043,stage_2,NQ_FORM_MISSING,20
S03_COHORT_1043,stage_2,NQ_GAUSSIAN_REVISION,20
S03_COHORT_1043,stage_2,PART_IV_FORM_MISSING,20
S03_COHORT_1043,stage_2,Years_since_PD_diagnosis,20
S03_COHORT_1043,stage_2,NHY_COMBINED_MAX,19
S03_COHORT_1043,stage_2,SCAU14,19
S03_COHORT_1043,stage_2,NP3GAIT_COMBINED_MAX,18
