split_seed,target,configuration_id,pipeline_key,candidate_kind,selector,selector_parameter,branch,branch_kind,model_family,backend,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,mean_fit_seconds,inner_folds,retained_rank
11,direct,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,none,all,INT_MOTOR_X_COGNITION,interaction,rbf_svc,scaled_dense,0.5188897259314992,0.04138756030423483,0.4155241935483871,0.5386427446508092,0.6456211620217289,47.8,27.0,0.05947000839951215,5,2
11,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,rbf_svc,scaled_dense,0.6964154494107342,0.027436338337249844,0.6482433960324803,0.7067378596324018,0.7280113367973547,27.8,19.6,0.1535327249992406,5,1
11,stage_1,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,rbf_svc,scaled_dense,0.6943852408868314,0.023929573741917412,0.6395395210196321,0.7033657201057756,0.7266698157770429,45.8,27.0,0.06139947460033,5,2
11,stage_2,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,scaled_dense,0.6330544463306993,0.06482477448175415,0.7219758064516129,0.6424164746543779,0.6733682803988077,45.8,27.0,0.13388062519952654,5,1
11,stage_2,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,scaled_dense,0.6330544463306993,0.06482477448175415,0.7219758064516129,0.6424164746543779,0.6733682803988077,45.8,27.0,0.1350400000002992,5,2
12,direct,SEL_02,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,catboost,native,0.5318858468117323,0.06999189126941925,0.4403225806451613,0.5638920386662323,0.6317902692489372,25.2,18.6,0.34875495840024084,5,1
12,direct,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,catboost,native,0.5252753938684409,0.1028944334854975,0.4215725806451613,0.5665684455926392,0.6124232404345772,21.0,13.0,0.21187993339917738,5,2
12,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,catboost,scaled_dense,0.6981725527341931,0.06142752141215944,0.6043478260869566,0.7007395696091347,0.7362871988663202,46.8,27.0,0.17360592480035847,5,1
12,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,none,all,PCA_PART_I_PATIENT_3_95,pca,catboost,scaled_dense,0.6981725527341931,0.06142752141215944,0.6043478260869566,0.7007395696091347,0.7362871988663202,46.8,27.0,0.15074202499963577,5,2
12,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,random_forest,unscaled_dense,0.6887392112689266,0.09569317029411946,0.7858870967741935,0.6948483102918587,0.7304347826086957,15.8,12.0,0.3711901251997915,5,1
12,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,catboost,native,0.6756190081711428,0.09177886306134424,0.8110887096774194,0.6784014976958526,0.7304347826086957,15.8,12.0,0.27605667499956327,5,2
13,direct,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,random_forest,scaled_dense,0.5299419816050635,0.02457156518316839,0.3522177419354839,0.5559417485143292,0.6538592347661786,47.8,27.0,0.2787883748002059,5,1
13,direct,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,catboost,scaled_dense,0.5144409767841702,0.022082884407685813,0.4086693548387097,0.5469186449750966,0.6181105337742088,47.8,27.0,0.20158215839983312,5,2
13,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,random_forest,unscaled_dense,0.7084841713026566,0.03773330251812913,0.6522849213691027,0.7166980162401069,0.7403778932451581,19.8,13.2,0.7364311167999403,5,1
13,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,logistic,scaled_dense,0.6959735126142121,0.032505873146599897,0.6608880666049954,0.7080399928984573,0.7252716107699575,19.8,13.2,0.4607122749999689,5,2
13,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,random_forest,unscaled_dense,0.6694634632293704,0.023230584965258802,0.7616935483870968,0.6765610599078341,0.7090204543118512,16.8,13.0,0.348878541400336,5,1
13,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,extra_trees,unscaled_dense,0.6712169313745926,0.06096625754168117,0.6987903225806452,0.6936808755760369,0.6956994552369206,16.8,13.0,0.32305509159996293,5,2
14,direct,SEL_02,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,catboost,native,0.5318266297349293,0.05029499738238917,0.4151209677419355,0.5717425832829058,0.6305432215399149,26.0,19.0,0.3104047665990947,5,1
14,direct,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,random_forest,unscaled_dense,0.5248713426223905,0.053877600125188545,0.3461693548387097,0.5567038782603299,0.6401794992914501,35.0,21.6,0.27168800860090414,5,2
14,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,extra_trees,unscaled_dense,0.6852120351159944,0.030147027889526768,0.6392537773666358,0.6951521412085704,0.7156542276806802,26.6,19.2,0.25783610819999014,5,1
14,stage_1,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,logistic,scaled_dense,0.6778507096736022,0.027310978192339984,0.630364888477747,0.687697595754025,0.7087860179499291,18.0,13.0,0.09728742499864892,5,2
14,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,xgboost,native,0.7111327741564646,0.07288493702083731,0.792741935483871,0.7220852534562212,0.7482475074519478,24.2,13.0,0.19540653320073034,5,1
14,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,catboost,native,0.6817985081885795,0.07116731159853759,0.8054435483870968,0.6860551075268818,0.7308520916846541,24.2,13.0,0.16110634959986783,5,2
15,direct,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,0.5055089395087728,0.05346266694988371,0.3592741935483871,0.5362227109807756,0.6125932923948985,13.4,9.2,0.3371134916000301,5,1
